k,#_of_exp,epochs,batch_size,train_accuracy,test_accuracy
1.0,0.0,10.0,8.0,1.0,0.6000000238418579
1.0,1.0,10.0,8.0,0.949999988079071,0.44999998807907104
1.0,2.0,10.0,8.0,0.949999988079071,0.699999988079071
1.0,3.0,10.0,8.0,1.0,0.6000000238418579
1.0,4.0,10.0,8.0,1.0,0.550000011920929
3.0,0.0,10.0,8.0,0.9833333492279053,0.75
3.0,1.0,10.0,8.0,0.9833333492279053,0.6833333373069763
3.0,2.0,10.0,8.0,0.949999988079071,0.800000011920929
3.0,3.0,10.0,8.0,0.9333333373069763,0.7833333611488342
3.0,4.0,10.0,8.0,0.8999999761581421,0.800000011920929
5.0,0.0,10.0,8.0,0.10999999940395355,0.38999998569488525
