stage,k,#_of_exp,batch_size,epochs,train_f1_score,test_f1_score
check_part_pretrain_resnet50,0.0,0.0,64.0,50.0,0.0,0.11774279177188873
check_part_pretrain_resnet50,0.0,1.0,64.0,50.0,0.0,0.11774279177188873
check_part_pretrain_resnet50,0.0,2.0,64.0,50.0,0.0,0.11774279177188873
check_part_pretrain_resnet50,1.0,0.0,64.0,50.0,1.0,0.5091983079910278
check_part_pretrain_resnet50,1.0,1.0,64.0,50.0,1.0,0.562751054763794
check_part_pretrain_resnet50,1.0,2.0,64.0,50.0,1.0,0.4645126163959503
check_part_pretrain_resnet50,2.0,0.0,64.0,50.0,1.0,0.5944438576698303
check_part_pretrain_resnet50,2.0,1.0,64.0,50.0,1.0,0.6491580009460449
check_part_pretrain_resnet50,2.0,2.0,64.0,50.0,1.0,0.6967415809631348
check_part_pretrain_resnet50,3.0,0.0,64.0,50.0,1.0,0.7164572477340698
check_part_pretrain_resnet50,3.0,1.0,64.0,50.0,0.9798319339752197,0.6954818367958069
check_part_pretrain_resnet50,3.0,2.0,64.0,50.0,0.940616250038147,0.7487425804138184
check_part_pretrain_resnet50,4.0,0.0,64.0,50.0,0.8609243631362915,0.7987692356109619
check_part_pretrain_resnet50,4.0,1.0,64.0,50.0,0.9551820755004883,0.7323518991470337
check_part_pretrain_resnet50,4.0,2.0,64.0,50.0,0.9564892649650574,0.7688513994216919
check_part_pretrain_resnet50,5.0,0.0,64.0,50.0,0.9510695338249207,0.8537290692329407
check_part_pretrain_resnet50,5.0,1.0,64.0,50.0,0.9763517379760742,0.8591854572296143
check_part_pretrain_resnet50,5.0,2.0,64.0,50.0,0.988116443157196,0.8169524669647217
check_part_pretrain_resnet50,8.0,0.0,64.0,50.0,0.9629153609275818,0.957169234752655
check_part_pretrain_resnet50,8.0,1.0,64.0,50.0,0.949125349521637,0.9120959043502808
check_part_pretrain_resnet50,8.0,2.0,64.0,50.0,0.9778546690940857,0.8964861631393433
