k,#_of_exp,epochs,train_accuracy,test_accuracy
1.0,0.0,10.0,0.949999988079071,0.5149999856948853
1.0,1.0,10.0,1.0,0.6050000190734863
1.0,2.0,10.0,0.949999988079071,0.5774999856948853
1.0,3.0,10.0,0.949999988079071,0.5450000166893005
1.0,4.0,10.0,1.0,0.5525000095367432
3.0,0.0,10.0,0.8999999761581421,0.7699999809265137
3.0,1.0,10.0,0.9333333373069763,0.7900000214576721
3.0,2.0,10.0,0.9333333373069763,0.7599999904632568
3.0,3.0,10.0,0.8999999761581421,0.7875000238418579
3.0,4.0,10.0,0.949999988079071,0.737500011920929
5.0,0.0,10.0,0.9200000166893005,0.875
5.0,1.0,10.0,0.8999999761581421,0.8774999976158142
5.0,2.0,10.0,0.9399999976158142,0.8324999809265137
5.0,3.0,10.0,0.9399999976158142,0.8774999976158142
5.0,4.0,10.0,0.9100000262260437,0.8374999761581421
